Material ID,Polymer Name (Formula),Decomposition Energy (eV/atom),Density (g/cm³),Thermal Conductivity (W/m·K),Heat Capacity (J/mol·K)
mp-23837,NdH3(CO2)3,N/A,3.403843496637723,N/A,N/A
mp-642729,LaH3(CO2)3,N/A,3.2053505856365,N/A,N/A
mp-642731,CeH3(CO2)3,N/A,3.303728342902079,N/A,N/A
mp-642991,TbH3(CO2)3,N/A,3.862911040503355,N/A,N/A
mp-642999,TmH3(CO2)3,N/A,4.129539518007773,N/A,N/A
mp-1193413,ScH3(CO2)3,N/A,1.753157754809576,N/A,N/A
mp-1200352,InH3(CO2)3,N/A,2.4846621763458,N/A,N/A
mp-1203534,H3CN5O4,N/A,1.624689630509118,N/A,N/A
mp-726434,Mo2H3(CO2)4,N/A,2.4326039045730923,N/A,N/A
mp-1191449,UH3CO6,N/A,4.204422780607141,N/A,N/A
mp-1207864,VH3CO5,N/A,2.406082514576796,N/A,N/A
mp-643365,KH3C2O3,N/A,1.7455763153051231,N/A,N/A
mp-696174,NaH3C2O5,N/A,1.894587673007782,N/A,N/A
mp-730460,Na5H3(CO3)4,N/A,2.402627586021559,N/A,N/A
mp-738668,NaH3(CO2)2,N/A,1.5455939382403492,N/A,N/A
mp-556503,LiH3CO3,N/A,1.43790972816401,N/A,N/A
mp-1224588,H3CNO2,N/A,1.539731246226776,N/A,N/A
mp-1001112,Na2H3CO6,N/A,2.080481758677208,N/A,N/A
mp-1198088,KH3CO6,N/A,1.854473524823891,N/A,N/A
mp-23682,KH3(CO2)2,N/A,1.6687915122440362,N/A,N/A
mp-23688,RbH3(CO2)2,N/A,2.054684536753082,N/A,N/A
mp-1192496,H3CO2F,N/A,1.375238397872259,N/A,N/A
mp-1204987,TiH3CO5,N/A,2.294788053037147,N/A,N/A
mp-1193570,NaH3C4O5,N/A,1.672340891968477,N/A,N/A
mp-1222511,MnH3C5NO6,N/A,1.8254474054420382,N/A,N/A
mp-1191702,K2H3CO4F,N/A,1.994453507364134,N/A,N/A
mp-605374,CsU2H3(C2O7)2,N/A,4.007215355455374,N/A,N/A
mp-1196577,LiH3CN2O,N/A,1.340309727326137,N/A,N/A
mp-1202931,NaH3CN2O,N/A,1.614359887951521,N/A,N/A
mp-1211072,MnH3C2N9O,N/A,2.147260870184118,N/A,N/A
mp-1212653,K3FeH3(CO2)6,N/A,1.795568365554772,N/A,N/A
mp-24357,H3CSO4F3,N/A,1.873364146719573,N/A,N/A
mp-605052,PH3W(CO)5,N/A,2.448243698207755,N/A,N/A
mp-644221,H3CSClO,N/A,1.587055997819976,N/A,N/A
mp-707364,AgH3CN3O4,N/A,2.6651764305711962,N/A,N/A
mp-707931,H3Os4C12ClO12,N/A,3.560355015551756,N/A,N/A
mp-708066,Sb6H3CCl13O10,N/A,3.118627005122769,N/A,N/A
mp-559039,PH3PbCO3,N/A,3.473046859505793,N/A,N/A
mp-1192422,KMnH3(CO2)3,N/A,2.034374111587193,N/A,N/A
mp-1198041,H3Os4C12IO12,N/A,3.561592991042423,N/A,N/A
mp-738615,HgH3CSO3,N/A,4.012729819890489,N/A,N/A
mp-973926,KCoH3(CO2)3,N/A,2.310036127402864,N/A,N/A
mp-1193315,KCoH3(CO2)3,N/A,2.028844087299779,N/A,N/A
mp-1194650,CsH3CN2O,N/A,2.8882108305165453,N/A,N/A
mp-1195148,NaMnH3(CO2)3,N/A,1.688173593150873,N/A,N/A
mp-1191468,NpPH3CO5,N/A,3.816951287145706,N/A,N/A
mp-1203046,H3C6SeO3F5,N/A,2.04438395823489,N/A,N/A
mp-1203823,ReH3CSO6,N/A,3.424942920385541,N/A,N/A
mp-1210937,MgCrH3(CO3)2,N/A,1.809880967008246,N/A,N/A
mp-1212328,K4Re2H3(C4O9)2,N/A,2.730440288651219,N/A,N/A
mp-1212587,H3C8N2Cl3O2,N/A,1.3834900815132531,N/A,N/A
mp-1212774,FePH3CO7,N/A,2.534765838526761,N/A,N/A
mp-555919,KH3C2S2O,N/A,1.560544506752054,N/A,N/A
mp-707319,BiH3Ru3(CO)9,N/A,2.915590632691399,N/A,N/A
mp-731160,H3Ru3Rh(CO)12,N/A,2.487160319920828,N/A,N/A
mp-1204708,CoPH3CO4,N/A,2.344957285875638,N/A,N/A
mp-604229,ZnH3CNO3,N/A,2.5352068124848133,N/A,N/A
mp-722315,ZnH3CNO3,N/A,2.300652359419753,N/A,N/A
mp-1203255,UPH3(CO5)2,N/A,3.115144028750026,N/A,N/A
mp-1221138,NaCoH3(CO2)3,N/A,1.899701963138194,N/A,N/A
mp-690653,NaH3CN4O,N/A,1.6649478632990982,N/A,N/A
mp-557366,NaCdH3(CO2)3,N/A,2.591129307017959,N/A,N/A
mp-1195275,RbH3CN2O,N/A,2.394347016226593,N/A,N/A
mp-1197870,AsH3C(OF3)2,N/A,2.321283305257237,N/A,N/A
mp-1204164,KH3CN2O,N/A,1.722967179312951,N/A,N/A
mp-1238590,AsH3C(OF3)2,N/A,2.395873256414547,N/A,N/A
mp-556951,CuH3C2NO4,N/A,2.374687763737318,N/A,N/A
mp-1193294,SiH3CNO,N/A,0.873778010651265,N/A,N/A
mp-1194496,GeH3CNO,N/A,1.417239670554313,N/A,N/A
mp-707771,H3Ru3C10ClO9,N/A,2.333858828603086,N/A,N/A
mp-1196054,LaH3CSO7,N/A,3.259421550049888,N/A,N/A
mp-1197612,NdH3CSO7,N/A,3.395312065308184,N/A,N/A
mp-1202097,PrH3CSO7,N/A,3.337388351168328,N/A,N/A
mp-1202815,EuH3CSO7,N/A,3.414502115745159,N/A,N/A
mp-1205073,CeH3CSO7,N/A,3.304998052080438,N/A,N/A
mp-1200235,CeH3CSO7,N/A,3.32568255652572,N/A,N/A
mp-1202500,NdH3CSO7,N/A,3.421030488716578,N/A,N/A
mp-1202833,PrH3CSO7,N/A,3.343122593352239,N/A,N/A
mp-1203848,LaH3CSO7,N/A,3.265993475545236,N/A,N/A
mp-1220790,NiH3C5NO6,N/A,1.973326274376159,N/A,N/A
mp-1238486,MnH3C5NO6,N/A,1.828343585069598,N/A,N/A
